Barcode,area_mean,major_axis_length_mean,minor_axis_length_mean,perimeter_mean,circularity_mean,eccentricity_mean,solidity_mean,int_gray_mean_mean,int_gray_sd_mean,int_s_mean_mean,int_s_sd_mean,int_a_mean_mean,int_a_sd_mean,int_b_mean_mean,int_b_sd_mean,area_sd,major_axis_length_sd,minor_axis_length_sd,perimeter_sd,circularity_sd,eccentricity_sd,solidity_sd,int_gray_mean_sd,int_gray_sd_sd,int_s_mean_sd,int_s_sd_sd,int_a_mean_sd,int_a_sd_sd,int_b_mean_sd,int_b_sd_sd
TCGA-A6-2686-01Z-00-DX1,1019.1346774193548,43.35515588584102,29.5167464275348,123.09231169326284,0.806115708485399,0.6927879389371285,0.9394569085967072,84.26624552380144,23.942989813141757,130.67261916407222,20.80656922625405,160.06201270499454,4.715973747316562,111.01954668488048,5.96696999210958,481.5930398141937,10.37324610134002,7.847553864102811,28.24728227098213,0.098235638853542,0.1480657811877561,0.051206607714459,13.210646314897176,6.45555684308412,13.644640722731726,5.36303726001718,2.208785911285483,1.1556664568740511,2.045050334156256,1.5182279035158108
TCGA-A6-3807-01Z-00-DX1,922.6197494473104,42.8560572420753,26.363710296659757,117.51411409133304,0.7877689076679463,0.7400822059891699,0.9405597197668824,65.02622794074183,15.27257443082589,142.11914704885515,17.362209232971523,156.79653820208168,3.729135282799596,105.68816825622866,3.351656936863995,547.6451311501608,14.09956997351257,8.245241556927153,36.06879279660237,0.1099218552741313,0.1476836108963735,0.0505532157095567,15.77977479036001,4.162923242561262,17.554953347239714,3.828543897570604,2.4450546372208257,1.0355088607341807,2.300925553643886,1.1916104336116202
TCGA-A6-3809-01Z-00-DX1,1040.4223443223443,45.67096581217313,28.976505216287144,125.9071634456772,0.8035665610971799,0.7353265720781837,0.947799255688552,61.28604391576247,17.515473468093628,142.7816505393981,20.52954952169653,155.56084336023022,3.967175054284016,104.34268759655738,3.146336707389638,403.561346470811,10.49213673900203,6.030645385441226,25.25994215660446,0.0903223504319069,0.1305519726318415,0.0443023850209919,6.460160761587583,3.571017518897606,7.1842853201813925,3.180387806035802,1.094826379703104,0.5937668140567174,1.0762095414266992,0.99402433020854
TCGA-A6-3810-01Z-00-DX1,803.9868862458067,40.87200037566673,24.82246366748606,111.23851759642292,0.7885957638495036,0.7445631208869584,0.9413880320392156,63.55741519110136,18.774478508840627,143.82088212415513,20.847441037004412,156.5561362625779,3.995140412707424,105.2366602730748,3.894599903777972,384.1854097348236,11.6887993442483,6.30798012238442,28.29794111201161,0.1080037147200108,0.1471224565383663,0.0472424304626038,12.65459515283131,5.54018887475253,13.656120997677998,4.518646915735745,1.8223199417131992,0.7309705191025698,1.4906361574354463,1.2298358633375397
TCGA-A6-4105-01Z-00-DX1,987.3777372262774,43.96677881758709,28.271033234055334,121.76046789534944,0.8036952925436465,0.7274764806220214,0.9464804723580303,46.38526609623784,17.55251630848777,166.43803645342223,21.48118650419169,155.24990414875447,5.498856834598358,109.7624678382258,3.3653683644685954,450.6142642101632,10.881472346641416,7.253669471773311,28.118621490148637,0.0947903666988853,0.1386134619837256,0.0450098927003015,12.55222195007351,6.392662609083931,12.95847256737687,4.474356700290329,2.861287619496372,0.9421678576784128,1.8215052230740405,1.0510499410392855
TCGA-A6-4107-01Z-00-DX1,642.3955753443718,36.6284195143961,21.80787912535381,98.46254554880676,0.796170593487123,0.7535323908309215,0.9421685799295396,83.54694997168171,19.789042988517647,116.04960246233846,19.32059199196177,153.57045270209474,3.3132723100328265,104.6896449414396,4.217021341583598,341.7115289949276,11.383832686411315,5.881506536981636,27.396107862690982,0.1053070918710517,0.145094682129221,0.0450362946055085,13.64747983965612,5.89810684237071,14.72750778776076,4.992387887150232,2.897615751061092,0.8085092733493492,1.857275631847396,1.2861587944548896
TCGA-A6-5656-01Z-00-DX1,824.952658412236,40.369726887609474,25.450910309279383,110.51960796141589,0.8056917945979624,0.7381945193398952,0.9466521247073084,69.77469212257161,15.719352645300608,143.17061123357786,15.91911122488273,159.9669911671538,3.6636788805508544,110.81341692186524,2.8494420660243067,421.9661375353813,9.99539342449052,7.435073832826,26.69104929059249,0.0989018208454432,0.1437037063574156,0.0465130811323107,15.435067222476082,5.182568934235643,14.642781672702396,4.893687896667025,2.361109444387798,1.2439062049106182,1.9108401511379547,0.8744192638112548
TCGA-A6-5657-01Z-00-DX1,883.5474107353984,41.150024062851,27.252988322069957,115.778005689225,0.8008275451526831,0.703541941436083,0.93744270519782,76.17529625584659,22.878486895802254,120.48658947511296,23.15935768819226,152.9764089789484,3.897293731467296,106.76403268360504,4.090945136735722,385.9174093828191,10.002488421084744,6.482315543482879,25.438938806763076,0.1027324198027462,0.1494525800959139,0.0532530525098494,15.94093755852825,7.389329631688346,16.539583822867357,5.389465749816401,1.9679252887688532,0.8403928889553259,1.4373238038681355,1.498117524325308
TCGA-A6-5659-01Z-00-DX1,1056.1193873999305,45.6987840553129,29.069500425670302,126.48019368415945,0.7935960663070362,0.7279367380831117,0.9434475360138922,69.81961021146908,26.680705467490107,128.62018131109556,27.17091936274921,151.49302662919257,4.510356479037848,105.402883211558,4.761687858236998,492.8217201694524,11.597555428314136,7.69813449244965,29.37502449100607,0.098331402133528,0.1467578422633076,0.0495705828590029,18.780593586413875,9.09648414818398,18.97066807529419,6.833820428889379,2.3231879540701925,1.179396729906524,1.678418821311925,1.8407244016842972
TCGA-A6-5660-01Z-00-DX1,914.5573011642588,42.90127566178143,26.648609597035897,117.36399663074668,0.7961446473514364,0.7398448440839139,0.9446524240679756,66.58410699655656,17.45045995511069,145.67837748567368,17.796744486924855,159.38654093333272,4.487563268747994,107.66392737369723,4.355320193326525,462.4180933999035,11.555113665191753,7.417702423424094,29.357026849869825,0.1024489552633916,0.1447427999472339,0.0472434037797577,10.766839247583473,4.1902890341272725,10.819156057043804,3.56716315107434,2.1081818586147123,0.7140213671580743,1.7634641529484532,1.0525849975589665
